City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Port Keats,AU,73.27,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
5,Haines Junction,CA,75.42,clear sky,60.7522,-137.5108,Parkside Inn
7,Sampit,ID,73.53,few clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
12,Sioux Lookout,CA,76.41,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
15,Hasaki,JP,73.8,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
18,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
20,Bengkulu,ID,75.09,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Villa Enata
26,Biak,ID,75.16,few clouds,-0.9131,122.8766,Penginapan Kim
29,Los Banos,PH,81.09,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
30,Hamilton,US,79.25,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
31,Wajima,JP,78.37,broken clouds,37.4,136.9,Wajiima Onsen Yashio
32,Komsomolskiy,UZ,81.32,overcast clouds,40.4272,71.7189,Ikathouse
36,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
37,San Francisco,US,92.64,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
42,Aklavik,CA,76.41,overcast clouds,68.2191,-135.0107,Aklavik Inn
44,Vaini,TO,73.17,light rain,-21.2,-175.2,Keleti Beach Resort
45,Sur,OM,89.26,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
51,La Asuncion,VE,71.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
53,Labuhan,ID,75.51,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
57,Thompson,CA,76.57,overcast clouds,55.7435,-97.8558,Burntwood Hotel
59,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
60,Butaritari,KI,81.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
61,Bubaque,GW,77.5,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
62,Yellowknife,CA,82.29,clear sky,62.456,-114.3525,The Explorer Hotel
66,Beaverlodge,CA,78.15,clear sky,55.2166,-119.4361,Side Trax Inn
67,Half Moon Bay,US,91.81,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
68,Hay River,CA,80.6,clear sky,60.8156,-115.7999,Ptarmigan Inn
70,Oranjestad,AW,87.75,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
74,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
78,Hilo,US,79.79,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Liling,CN,82.29,few clouds,27.6667,113.5,Shangri-La Hotel
83,The Valley,AI,86.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
86,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
91,Pochutla,MX,92.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
95,Rikitea,PF,70.63,clear sky,-23.1203,-134.9692,People ThankYou
97,Qingdao,CN,80.2,clear sky,36.0986,120.3719,东晖国际大酒店餐厅
99,Lakhnadon,IN,73.72,overcast clouds,22.6,79.6,HOTEL PRIDE
100,Tarauaca,BR,90.03,clear sky,-8.1614,-70.7656,Flat Temporada
102,College,US,72.59,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
103,Cayenne,GF,87.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
106,Lorengau,PG,79.75,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Sao Miguel Do Araguaia,BR,94.19,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
116,Basse-Pointe,MQ,88.74,clear sky,14.8695,-61.115,Residence HYBRIDES
119,Antsohihy,MG,70.38,clear sky,-14.8796,47.9875,Hotel de Ville
121,Katobu,ID,73.56,heavy intensity rain,-4.9408,122.5276,La Ode Husein
123,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
124,Appleton,US,79.39,haze,44.2619,-88.4154,Radisson Paper Valley Hotel
125,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
126,Ponta Do Sol,PT,74.71,clear sky,32.6667,-17.1,Hotel do Campo
128,Mengcheng,CN,78.04,clear sky,33.2579,116.5655,Jinliang Hotel
129,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
133,Nantucket,US,74.25,clear sky,41.2835,-70.0995,Jared Coffin House
134,La Ronge,CA,71.96,clear sky,55.1001,-105.2842,Northland Motor Hotel
136,Ferkessedougou,CI,74.71,moderate rain,9.6,-5.2,Hotel Chateau
137,La Antigua,CO,74.98,broken clouds,6.7153,-76.079,Quimulá
139,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
140,Ponta Delgada,PT,75.92,few clouds,37.7333,-25.6667,Vila Nova Hotel
142,Mahebourg,MU,70.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
