City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,84.18,68,30,4.0,scattered clouds
1,Tinskoy,RU,56.1525,96.9161,54.88,87,100,0.6,overcast clouds
2,Mount Gambier,AU,-37.8333,140.7667,42.15,86,9,4.59,clear sky
3,Ilulissat,GL,69.2167,-51.1,60.82,36,11,8.05,few clouds
4,Port Keats,AU,-14.25,129.55,73.27,91,75,1.39,broken clouds
5,Haines Junction,CA,60.7522,-137.5108,75.42,36,7,4.54,clear sky
6,Wakkanai,JP,45.4094,141.6739,68.81,91,100,26.02,overcast clouds
7,Sampit,ID,-2.5333,112.95,73.53,96,16,2.66,few clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,69.55,98,41,7.0,light rain
9,Te Anau,NZ,-45.4167,167.7167,46.31,98,100,1.19,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,38.28,95,100,9.42,light rain
11,Bredasdorp,ZA,-34.5322,20.0403,51.28,89,100,2.48,overcast clouds
12,Sioux Lookout,CA,50.1001,-91.917,76.41,28,80,13.0,broken clouds
13,Port Elizabeth,ZA,-33.918,25.5701,56.1,60,93,2.35,overcast clouds
14,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,87.4,17,59,3.42,broken clouds
15,Hasaki,JP,35.7333,140.8333,73.8,91,53,6.85,moderate rain
16,Albany,US,42.6001,-73.9662,73.8,49,67,1.99,broken clouds
17,Alice Springs,AU,-23.7,133.8833,56.75,67,0,5.75,clear sky
18,Alofi,NU,-19.0595,-169.9187,78.8,84,93,25.1,light rain
19,East London,ZA,-33.0153,27.9116,66.0,40,87,6.85,overcast clouds
20,Bengkulu,ID,-3.8004,102.2655,75.09,91,31,3.74,scattered clouds
21,Saint George,US,37.1041,-113.5841,96.39,33,97,8.99,overcast clouds
22,Andra,RU,62.5147,65.8878,52.32,72,73,6.17,broken clouds
23,Atuona,PF,-9.8,-139.0333,76.75,70,40,12.97,scattered clouds
24,Lasa,IT,46.6166,10.7002,62.02,93,100,4.23,overcast clouds
25,Altay,CN,47.8667,88.1167,57.54,58,71,3.04,broken clouds
26,Biak,ID,-0.9131,122.8766,75.16,87,23,4.76,few clouds
27,Havoysund,NO,70.9963,24.6622,45.48,87,100,6.26,light rain
28,Cape Town,ZA,-33.9258,18.4232,57.27,88,75,1.01,mist
29,Los Banos,PH,14.1667,121.1833,81.09,92,100,6.15,overcast clouds
30,Hamilton,US,39.1834,-84.5333,79.25,73,100,3.0,overcast clouds
31,Wajima,JP,37.4,136.9,78.37,83,59,3.76,broken clouds
32,Komsomolskiy,UZ,40.4272,71.7189,81.32,39,99,0.0,overcast clouds
33,Torbay,CA,47.6666,-52.7314,69.89,74,61,19.91,broken clouds
34,Bambous Virieux,MU,-20.3428,57.7575,67.21,70,3,15.17,clear sky
35,Tiksi,RU,71.6872,128.8694,39.94,91,93,8.1,overcast clouds
36,Ribeira Grande,PT,38.5167,-28.7,77.4,65,20,13.8,few clouds
37,San Francisco,US,37.7749,-122.4194,92.64,77,20,4.0,few clouds
38,Airai,TL,-8.9266,125.4092,58.24,90,60,3.62,broken clouds
39,Simbahan,PH,6.3032,120.5836,83.34,76,39,7.56,scattered clouds
40,Bluff,NZ,-46.6,168.3333,47.8,95,100,5.44,light rain
41,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,100,90,18.41,mist
42,Aklavik,CA,68.2191,-135.0107,76.41,38,96,11.48,overcast clouds
43,Port Alfred,ZA,-33.5906,26.891,67.06,41,100,5.99,overcast clouds
44,Vaini,TO,-21.2,-175.2,73.17,77,100,25.19,light rain
45,Sur,OM,22.5667,59.5289,89.26,59,40,12.8,scattered clouds
46,Isangel,VU,-19.55,169.2667,69.58,57,8,15.3,clear sky
47,Tawang,IN,27.5833,91.8667,57.49,98,100,1.81,overcast clouds
48,Castro,BR,-24.7911,-50.0119,53.19,63,95,6.89,overcast clouds
49,Busselton,AU,-33.65,115.3333,49.08,81,80,27.87,broken clouds
50,Hobart,AU,-42.8794,147.3294,48.06,72,6,1.99,clear sky
51,La Asuncion,VE,11.0333,-63.8628,71.33,100,8,18.41,clear sky
52,Punta Arenas,CL,-53.15,-70.9167,42.12,56,100,17.58,overcast clouds
53,Labuhan,ID,-6.8844,112.2051,75.51,85,86,6.93,overcast clouds
54,Borogontsy,RU,62.6683,131.1683,57.87,56,8,3.78,clear sky
55,Port Hedland,AU,-20.3167,118.5667,59.05,58,0,8.05,clear sky
56,Mataura,NZ,-46.1927,168.8643,47.48,100,100,1.63,light rain
57,Thompson,CA,55.7435,-97.8558,76.57,33,87,10.11,overcast clouds
58,Sheltozero,RU,61.3667,35.3667,59.27,92,71,10.49,broken clouds
59,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,79,32,5.12,scattered clouds
60,Butaritari,KI,3.0707,172.7902,81.16,75,14,6.04,few clouds
61,Bubaque,GW,11.2833,-15.8333,77.5,90,100,18.3,moderate rain
62,Yellowknife,CA,62.456,-114.3525,82.29,53,2,8.99,clear sky
63,Vestmannaeyjar,IS,63.4427,-20.2734,53.56,93,99,8.28,overcast clouds
