City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-07-29 06:29:57,-34.4187,19.2345,50.9,79,99,18.28
1,Carnarvon,AU,2021-07-29 06:29:58,-24.8667,113.6333,68.07,60,90,12.66
2,Busselton,AU,2021-07-29 06:29:58,-33.65,115.3333,63.09,77,16,32.19
3,Jambi,ID,2021-07-29 06:29:58,-1.6,103.6167,93.65,36,26,5.59
4,Rio Pardo,BR,2021-07-29 06:29:59,-29.9897,-52.3781,36.41,87,6,8.81
5,Cherskiy,RU,2021-07-29 06:29:59,68.75,161.3,36.73,80,100,23.24
6,Kaitangata,NZ,2021-07-29 06:30:00,-46.2817,169.8464,46.81,93,63,8.59
7,Aras,ES,2021-07-29 06:30:00,42.5617,-2.356,61.05,71,0,5.75
8,Bengkulu,ID,2021-07-29 06:30:01,-3.8004,102.2655,85.68,65,18,13.13
9,Avarua,CK,2021-07-29 06:26:05,-21.2078,-159.775,68.05,88,90,9.22
10,Bluff,NZ,2021-07-29 06:30:01,-46.6,168.3333,50.81,82,56,10.58
11,Saint-Philippe,RE,2021-07-29 06:30:02,-21.3585,55.7679,74.79,80,67,18.19
12,Ushuaia,AR,2021-07-29 06:28:26,-54.8,-68.3,47.86,57,90,23.02
13,Mundwa,IN,2021-07-29 06:30:03,27.0667,73.8167,89.2,58,98,13.82
14,Auki,SB,2021-07-29 06:30:04,-8.7676,160.7034,80.1,80,18,2.48
15,Clyde River,CA,2021-07-29 06:30:05,70.4692,-68.5914,37.63,100,1,3.44
16,Constitucion,CL,2021-07-29 06:30:05,-35.3333,-72.4167,48.92,67,0,5.01
17,Rikitea,PF,2021-07-29 06:30:06,-23.1203,-134.9692,74.19,76,12,8.48
18,San Pedro,PH,2021-07-29 06:30:06,14.35,121.0167,82.15,90,90,14.97
19,Punta Arenas,CL,2021-07-29 06:30:06,-53.15,-70.9167,42.91,65,0,14.97
20,Port Hueneme,US,2021-07-29 06:30:07,34.1478,-119.1951,82.06,86,1,6.91
21,Xiuyan,CN,2021-07-29 06:30:08,40.2928,123.2744,87.4,64,100,6.46
22,Ostrovnoy,RU,2021-07-29 06:30:09,68.0531,39.5131,48.51,71,100,0.65
23,Mar Del Plata,AR,2021-07-29 06:29:10,-38.0023,-57.5575,43.12,63,0,1.99
